"","country_or_area","region","continent"
"1","Afghanistan","Southern Asia","Asia"
"2","Åland Islands","Northern Europe","Europe"
"3","Albania","Southern Europe","Europe"
"4","Algeria","Northern Africa","Africa"
"5","American Samoa","Polynesia","Oceania"
"6","Andorra","Southern Europe","Europe"
"7","Angola","Middle Africa","Africa"
"8","Anguilla","Caribbean","North America"
"9","Antarctica","Antarctica","Antarctica"
"10","Antigua and Barbuda","Caribbean","North America"
"11","Argentina","South America","South America"
"12","Armenia","Western Asia","Asia"
"13","Aruba","Caribbean","North America"
"14","Australia","Australia and New Zealand","Oceania"
"15","Austria","Western Europe","Europe"
"16","Azerbaijan","Western Asia","Asia"
"17","Bahamas","Caribbean","North America"
"18","Bahrain","Western Asia","Asia"
"19","Bangladesh","Southern Asia","Asia"
"20","Barbados","Caribbean","North America"
"21","Belarus","Eastern Europe","Europe"
"22","Belgium","Western Europe","Europe"
"23","Belize","Central America","North America"
"24","Benin","Western Africa","Africa"
"25","Bermuda","Northern America","North America"
"26","Bhutan","Southern Asia","Asia"
"27","Bolivia (Plurinational State of)","South America","South America"
"28","Bonaire, Sint Eustatius and Saba","Caribbean","North America"
"29","Bosnia and Herzegovina","Southern Europe","Europe"
"30","Botswana","Southern Africa","Africa"
"31","Bouvet Island","South America","South America"
"32","Brazil","South America","South America"
"33","British Indian Ocean Territory","Eastern Africa","Africa"
"34","British Virgin Islands","Caribbean","North America"
"35","Brunei Darussalam","South-eastern Asia","Asia"
"36","Bulgaria","Eastern Europe","Europe"
"37","Burkina Faso","Western Africa","Africa"
"38","Burundi","Eastern Africa","Africa"
"39","Cabo Verde","Western Africa","Africa"
"40","Cambodia","South-eastern Asia","Asia"
"41","Cameroon","Middle Africa","Africa"
"42","Canada","Northern America","North America"
"43","Cayman Islands","Caribbean","North America"
"44","Central African Republic","Middle Africa","Africa"
"45","Chad","Middle Africa","Africa"
"46","Chile","South America","South America"
"47","China","Eastern Asia","Asia"
"48","China, Hong Kong Special Administrative Region","Eastern Asia","Asia"
"49","China, Macao Special Administrative Region","Eastern Asia","Asia"
"50","Christmas Island","Australia and New Zealand","Oceania"
"51","Cocos (Keeling) Islands","Australia and New Zealand","Oceania"
"52","Colombia","South America","South America"
"53","Comoros","Eastern Africa","Africa"
"54","Congo","Middle Africa","Africa"
"55","Cook Islands","Polynesia","Oceania"
"56","Costa Rica","Central America","North America"
"57","Côte d’Ivoire","Western Africa","Africa"
"58","Croatia","Southern Europe","Europe"
"59","Cuba","Caribbean","North America"
"60","Curaçao","Caribbean","North America"
"61","Cyprus","Western Asia","Asia"
"62","Czechia","Eastern Europe","Europe"
"63","Democratic People's Republic of Korea","Eastern Asia","Asia"
"64","Democratic Republic of the Congo","Middle Africa","Africa"
"65","Denmark","Northern Europe","Europe"
"66","Djibouti","Eastern Africa","Africa"
"67","Dominica","Caribbean","North America"
"68","Dominican Republic","Caribbean","North America"
"69","Ecuador","South America","South America"
"70","Egypt","Northern Africa","Africa"
"71","El Salvador","Central America","North America"
"72","Equatorial Guinea","Middle Africa","Africa"
"73","Eritrea","Eastern Africa","Africa"
"74","Estonia","Northern Europe","Europe"
"75","Eswatini","Southern Africa","Africa"
"76","Ethiopia","Eastern Africa","Africa"
"77","Falkland Islands (Malvinas)","South America","South America"
"78","Faroe Islands","Northern Europe","Europe"
"79","Fiji","Melanesia","Oceania"
"80","Finland","Northern Europe","Europe"
"81","France","Western Europe","Europe"
"82","French Guiana","South America","South America"
"83","French Polynesia","Polynesia","Oceania"
"84","French Southern Territories","Eastern Africa","Africa"
"85","Gabon","Middle Africa","Africa"
"86","Gambia","Western Africa","Africa"
"87","Georgia","Western Asia","Asia"
"88","Germany","Western Europe","Europe"
"89","Ghana","Western Africa","Africa"
"90","Gibraltar","Southern Europe","Europe"
"91","Greece","Southern Europe","Europe"
"92","Greenland","Northern America","North America"
"93","Grenada","Caribbean","North America"
"94","Guadeloupe","Caribbean","North America"
"95","Guam","Micronesia","Oceania"
"96","Guatemala","Central America","North America"
"97","Guernsey","Northern Europe","Europe"
"98","Guinea","Western Africa","Africa"
"99","Guinea-Bissau","Western Africa","Africa"
"100","Guyana","South America","South America"
"101","Haiti","Caribbean","North America"
"102","Heard Island and McDonald Islands","Australia and New Zealand","Oceania"
"103","Holy See","Southern Europe","Europe"
"104","Honduras","Central America","North America"
"105","Hungary","Eastern Europe","Europe"
"106","Iceland","Northern Europe","Europe"
"107","India","Southern Asia","Asia"
"108","Indonesia","South-eastern Asia","Asia"
"109","Iran (Islamic Republic of)","Southern Asia","Asia"
"110","Iraq","Western Asia","Asia"
"111","Ireland","Northern Europe","Europe"
"112","Isle of Man","Northern Europe","Europe"
"113","Israel","Western Asia","Asia"
"114","Italy","Southern Europe","Europe"
"115","Jamaica","Caribbean","North America"
"116","Japan","Eastern Asia","Asia"
"117","Jersey","Northern Europe","Europe"
"118","Jordan","Western Asia","Asia"
"119","Kazakhstan","Central Asia","Asia"
"120","Kenya","Eastern Africa","Africa"
"121","Kiribati","Micronesia","Oceania"
"122","Kuwait","Western Asia","Asia"
"123","Kyrgyzstan","Central Asia","Asia"
"124","Lao People's Democratic Republic","South-eastern Asia","Asia"
"125","Latvia","Northern Europe","Europe"
"126","Lebanon","Western Asia","Asia"
"127","Lesotho","Southern Africa","Africa"
"128","Liberia","Western Africa","Africa"
"129","Libya","Northern Africa","Africa"
